sentence_number	batch	model	prompt	temperature	bertscore_precision	bertscore_recall	bertscore_f1	CHRF	COMET
87	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
88	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
89	1	ChatGPT 4	prompt3	0.15	[0.8470731973648071]	[0.8081932067871094]	0.827176570892334	69.112034670537	[0.8897587656974792]
90	1	ChatGPT 4	prompt3	0.15	[0.7410888671875]	[0.7634938359260559]	0.752124547958374	36.40600942275522	[0.7168304920196533]
91	1	ChatGPT 4	prompt3	0.15	[1.000000238418579]	[1.000000238418579]	1.000000238418579	100.0	[0.9849644899368286]
92	1	ChatGPT 4	prompt3	0.15	[0.9999998807907104]	[0.9999998807907104]	0.9999998807907104	100.0	[0.9811449646949768]
93	1	ChatGPT 4	prompt3	0.15	[0.9999997615814209]	[0.9999997615814209]	0.9999997615814209	100.0	[0.9859870076179504]
94	1	ChatGPT 4	prompt3	0.15	[1.0000001192092896]	[1.0000001192092896]	1.0000001192092896	100.0	[0.9899653792381287]
95	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
96	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
97	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9846649765968323]
98	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9818198084831238]
99	1	ChatGPT 4	prompt3	0.15	[0.8473143577575684]	[0.8196026086807251]	0.8332281112670898	58.36038256975312	[0.8819745182991028]
100	1	ChatGPT 4	prompt3	0.15	[1.0000001192092896]	[1.0000001192092896]	1.0000001192092896	100.0	[0.9847012758255005]
101	1	ChatGPT 4	prompt3	0.15	[0.8532504439353943]	[0.8265244364738464]	0.8396748304367065	58.8185586838898	[0.890158474445343]
102	1	ChatGPT 4	prompt3	0.15	[0.8649278283119202]	[0.9008915424346924]	0.8825435042381287	76.86598560841522	[0.9713487029075623]
103	1	ChatGPT 4	prompt3	0.15	[0.8549333810806274]	[0.8911646008491516]	0.8726730346679688	76.86598560841522	[0.9602470993995667]
104	1	ChatGPT 4	prompt3	0.15	[0.8037731647491455]	[0.7837345600128174]	0.7936273813247681	47.46797557763678	[0.8385725617408752]
105	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
106	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
107	1	ChatGPT 4	prompt3	0.15	[0.9017170667648315]	[0.889417827129364]	0.8955252170562744	75.34617117343416	[0.927558958530426]
108	1	ChatGPT 4	prompt3	0.15	[0.9323157072067261]	[0.9505850672721863]	0.9413617849349976	81.64975875749052	[0.9384567737579346]
109	1	ChatGPT 4	prompt3	0.15	[0.8090184926986694]	[0.7950881123542786]	0.8019927740097046	46.46618759711896	[0.9123072028160095]
110	1	ChatGPT 4	prompt3	0.15	[0.9819961786270142]	[0.9819961786270142]	0.9819961786270142	84.67438655578525	[0.9642909169197083]
111	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
112	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
113	1	ChatGPT 4	prompt3	0.15	[0.9495998024940491]	[0.9389668107032776]	0.9442533850669861	86.41559078617509	[0.9129464030265808]
114	1	ChatGPT 4	prompt3	0.15	[0.9772573113441467]	[0.989866316318512]	0.9835214018821716	94.45281019937777	[0.9614576697349548]
115	1	ChatGPT 4	prompt3	0.15	[0.7481834888458252]	[0.708786129951477]	0.7279521822929382	32.12042853194759	[0.5672875046730042]
116	1	ChatGPT 4	prompt3	0.15	[0.9651676416397095]	[0.9422157406806946]	0.9535536170005798	84.13262788847467	[0.9663715958595276]
117	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9814565777778625]
118	1	ChatGPT 4	prompt3	0.15	[0.9801735877990723]	[0.9801735877990723]	0.9801735877990723	89.14119902462402	[0.9489423036575317]
119	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
120	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
121	1	ChatGPT 4	prompt3	0.15	[0.8417379856109619]	[0.8508549332618713]	0.8462719321250916	53.805372202580735	[0.8654190897941589]
122	1	ChatGPT 4	prompt3	0.15	[0.703654944896698]	[0.7114887833595276]	0.7075501680374146	30.128561042767245	[0.6639888882637024]
123	1	ChatGPT 4	prompt3	0.15	[0.8989184498786926]	[0.874333381652832]	0.8864555358886719	60.2469086305971	[0.9266742467880249]
124	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9866815805435181]
125	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9891265630722046]
126	1	ChatGPT 4	prompt3	0.15	[0.732332706451416]	[0.7871602773666382]	0.7587573528289795	62.06647041588435	[0.8396087884902954]
127	1	ChatGPT 4	prompt3	0.15	[0.9999998807907104]	[0.9999998807907104]	0.9999998807907104	100.0	[0.9898729920387268]
128	1	ChatGPT 4	prompt3	0.15	[0.9999998807907104]	[0.9999998807907104]	0.9999998807907104	100.0	[0.9905000329017639]
129	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
130	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
131	1	ChatGPT 4	prompt3	0.15	[0.8773316144943237]	[0.862703263759613]	0.8699559569358826	65.75447567069813	[0.7279120683670044]
132	1	ChatGPT 4	prompt3	0.15	[0.8512664437294006]	[0.8832947015762329]	0.8669848442077637	41.47278913638714	[0.6715637445449829]
133	1	ChatGPT 4	prompt3	0.15	[0.8495683670043945]	[0.8664153218269348]	0.8579091429710388	45.60948051613132	[0.8516346216201782]
134	1	ChatGPT 4	prompt3	0.15	[0.7813819646835327]	[0.823805570602417]	0.8020331263542175	41.883776814972606	[0.894775927066803]
135	1	ChatGPT 4	prompt3	0.15	[0.8792421817779541]	[0.8199180364608765]	0.8485444784164429	44.63203161110588	[0.8791147470474243]
136	1	ChatGPT 4	prompt3	0.15	[0.8294575810432434]	[0.7825111746788025]	0.805300772190094	37.768161388445996	[0.9344386458396912]
137	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
138	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
139	1	ChatGPT 4	prompt3	0.15	[0.8728681802749634]	[0.8423119187355042]	0.8573178648948669	53.812023747129686	[0.8757749199867249]
140	1	ChatGPT 4	prompt3	0.15	[0.8708698153495789]	[0.8550985455513]	0.862912118434906	55.912166032246716	[0.8189200758934021]
141	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9907280206680298]
142	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9854109883308411]
143	1	ChatGPT 4	prompt3	0.15	[0.8053783178329468]	[0.7751820087432861]	0.7899917364120483	40.02713038683816	[0.9010968208312988]
144	1	ChatGPT 4	prompt3	0.15	[0.6711651086807251]	[0.6844106912612915]	0.6777231693267822	10.104265737850131	[0.562500536441803]
145	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9877792000770569]
146	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
147	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
148	1	ChatGPT 4	prompt3	0.15	[0.8398841023445129]	[0.8958477973937988]	0.866963803768158	84.69425103926595	[0.9103475213050842]
149	1	ChatGPT 4	prompt3	0.15	[0.8842334747314453]	[0.889744222164154]	0.8869802355766296	62.8391362922297	[0.9157492518424988]
150	1	ChatGPT 4	prompt3	0.15	[0.9405598640441895]	[0.9251816272735596]	0.9328073859214783	76.92823670254971	[0.947466254234314]
151	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9866815805435181]
152	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9891265630722046]
153	1	ChatGPT 4	prompt3	0.15	[0.732332706451416]	[0.7871602773666382]	0.7587573528289795	62.06647041588435	[0.8396087884902954]
154	1	ChatGPT 4	prompt3	0.15	[0.9999998807907104]	[0.9999998807907104]	0.9999998807907104	100.0	[0.9898729920387268]
155	1	ChatGPT 4	prompt3	0.15	[0.9999998807907104]	[0.9999998807907104]	0.9999998807907104	100.0	[0.9905000329017639]
156	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
157	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
158	1	ChatGPT 4	prompt3	0.15	[0.9623200297355652]	[0.9332159757614136]	0.9475446343421936	73.66846984708924	[0.9102980494499207]
159	1	ChatGPT 4	prompt3	0.15	[0.8958763480186462]	[0.8925502896308899]	0.8942102193832397	61.181490549985526	[0.8961648941040039]
160	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9824785590171814]
161	1	ChatGPT 4	prompt3	0.15	[0.8512664437294006]	[0.8832947015762329]	0.8669848442077637	41.47278913638714	[0.6715637445449829]
162	1	ChatGPT 4	prompt3	0.15	[0.9015011191368103]	[0.8971936106681824]	0.8993421792984009	65.147898466514	[0.9132174849510193]
163	1	ChatGPT 4	prompt3	0.15	[0.7750221490859985]	[0.7849774360656738]	0.7799680233001709	51.00367004886394	[0.8315823078155518]
164	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9878422617912292]
165	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9813385009765625]
166	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9883447289466858]
167	1	ChatGPT 4	prompt3	0.15	[0.886623740196228]	[0.886623740196228]	0.886623740196228	19.755838517863427	[0.9026514887809753]
168	1	ChatGPT 4	prompt3	0.15	[0.8985819816589355]	[0.8985819816589355]	0.8985819816589355	67.23185459091977	[0.9626121520996094]
169	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
170	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
171	1	ChatGPT 4	prompt3	0.15	[0.8152514100074768]	[0.8066684603691101]	0.810937225818634	52.41558663385766	[0.8472158312797546]
172	1	ChatGPT 4	prompt3	0.15	[0.818721354007721]	[0.886978030204773]	0.851483941078186	53.27310504893208	[0.8387558460235596]
173	1	ChatGPT 4	prompt3	0.15	[0.8637082576751709]	[0.8291944265365601]	0.8460994958877563	58.83817614205829	[0.8449429869651794]
174	1	ChatGPT 4	prompt3	0.15	[0.8577969074249268]	[0.8259414434432983]	0.8415678143501282	57.19204061457807	[0.8050339818000793]
175	1	ChatGPT 4	prompt3	0.15	[0.8171965479850769]	[0.8214486837387085]	0.8193171620368958	37.93308551368644	[0.8935802578926086]
176	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
177	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
178	1	ChatGPT 4	prompt3	0.15	[0.8137028217315674]	[0.8591536283493042]	0.8358107805252075	49.73888740642893	[0.8492462038993835]
179	1	ChatGPT 4	prompt3	0.15	[0.7416103482246399]	[0.7674646377563477]	0.7543160915374756	48.616484236986935	[0.7771963477134705]
180	1	ChatGPT 4	prompt3	0.15	[0.8512664437294006]	[0.8832947015762329]	0.8669848442077637	41.47278913638714	[0.6715637445449829]
181	1	ChatGPT 4	prompt3	0.15	[0.8659459948539734]	[0.8283541798591614]	0.8467330932617188	51.49069366362984	[0.8433032631874084]
182	1	ChatGPT 4	prompt3	0.15	[1.0000001192092896]	[1.0000001192092896]	1.0000001192092896	100.0	[0.9890469908714294]
183	1	ChatGPT 4	prompt3	0.15	[0.8084090948104858]	[0.7348829507827759]	0.769894540309906	15.554126195188564	[0.7808852195739746]
184	1	ChatGPT 4	prompt3	0.15	[0.9346663951873779]	[0.8737625479698181]	0.9031888842582703	56.70997971803937	[0.9277299642562866]
185	1	ChatGPT 4	prompt3	0.15	[0.7417637705802917]	[0.6996220350265503]	0.720076858997345	17.24113618525268	[0.669170081615448]
186	1	ChatGPT 4	prompt3	0.15	[0.8649357557296753]	[0.7588099837303162]	0.808404803276062	31.92437129204907	[0.6330416798591614]
187	1	ChatGPT 4	prompt3	0.15	[0.9579725861549377]	[0.9394285678863525]	0.9486100077629089	60.892310748988244	[0.9612903594970703]
188	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
189	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
190	1	ChatGPT 4	prompt3	0.15	[0.8687793016433716]	[0.8317947387695312]	0.8498848676681519	54.757493852778	[0.9022958278656006]
191	1	ChatGPT 4	prompt3	0.15	[0.8437373638153076]	[0.803007960319519]	0.8228690028190613	57.44666952194275	[0.760391891002655]
192	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9816941618919373]
193	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9820767641067505]
194	1	ChatGPT 4	prompt3	0.15	[0.9999999403953552]	[0.9999999403953552]	0.9999999403953552	100.0	[0.9895122051239014]
195	1	ChatGPT 4	prompt3	0.15	[0.9120160341262817]	[0.9166792035102844]	0.9143416285514832	71.40269161123327	[0.9338798522949219]
196	1	ChatGPT 4	prompt3	0.15	[0.7621548175811768]	[0.7483494281768799]	0.7551890015602112	35.11850956176702	[0.8829887509346008]
197	1	ChatGPT 4	prompt3	0.15	[0.8519081473350525]	[0.8354208469390869]	0.843583881855011	35.11850956176702	[0.6779604554176331]
198	1	ChatGPT 4	prompt3	0.15	[0.8983017206192017]	[0.8843756318092346]	0.8912842869758606	37.171408257282835	[0.8217856287956238]
199	1	ChatGPT 4	prompt3	0.15	[0.8241326808929443]	[0.8278310894966125]	0.8259777426719666	38.40073304803419	[0.844392716884613]
200	1	ChatGPT 4	prompt3	0.15	[1.0]	[1.0]	1.0	100.0	[0.9943715929985046]
201	1	ChatGPT 4	prompt3	0.15	[0.8095431327819824]	[0.7933360934257507]	0.8013576865196228	51.401093056849355	[0.8332406878471375]
202	1	ChatGPT 4	prompt3	0.15	[0.919333279132843]	[0.8654922246932983]	0.8916006684303284	44.553112680635756	[0.904007613658905]
203	1	ChatGPT 4	prompt3	0.15	[0.8331242799758911]	[0.8018014430999756]	0.8171627521514893	46.50992916571358	[0.8218459486961365]
204	1	ChatGPT 4	prompt3	0.15	[0.970464825630188]	[0.970464825630188]	0.970464825630188	88.46354290825073	[0.9745844006538391]
205	1	ChatGPT 4	prompt3	0.15	[0.9830190539360046]	[0.9830190539360046]	0.9830190539360046	94.27366887041518	[0.9617742896080017]
